time,value1,value2,value3
151735,0,0,0.2174
151735,0,0,0.2485
151735,0,0,0.2175
151735,0,0,0.1864
151735,0,0,0.1554
151735,0,0,0.1243
151735,0,0,0.0932
151735,0,0,0.0622
151735,0,0,0.0311
151735,0,0,0
151735,0,0,0
151735,0,0,0.0311
151735,0,0,0.0622
151735,0,0,0.0934
151735,0,0,0.1246
151735,0,0,0.0934
151735,0,0,0.0623
151735,0,0,0.0311
151736,0,0,0
151736,0,0,0
151736,0,0,-0.031
151736,0,0,-0.062
151736,0,0,-0.093
151736,0,0,-0.124
151736,0,0,-0.156
151736,0,0,-0.187
151736,0,0,-0.218
151736,0,0,-0.249
151736,0,0,-0.281
151736,0,0,-0.312
151736,0,0,-0.343
151736,0,0,-0.375
151736,0,0,-0.406
151736,0,0,-0.437
151736,0,0,-0.406
151736,0,0,-0.375
151736,0,0,-0.344
151736,0,0,-0.312
151736,0,0,-0.281
151736,0,0,-0.25
151736,0,0,-0.219
151736,0,0,-0.187
151736,0,0,-0.156
151736,0,0,-0.125
151736,0,0,-0.094
151736,0,0,-0.062
151736,0,0,-0.031
151736,0,0,0
151737,0,0,0.0313
151737,0,0,0.0627
151737,0,0,0.0941
151737,0,0,0.1255
151737,0,0,0.1569
151737,0,0,0.1883
151737,0,0,0.2198
151737,0,0,0.2512
151737,0,0,0.2827
151737,0,0,0.2513
151737,0,0,0.22
151737,0,0,0.1886
151737,0,0,0.1572
151737,0,0,0.1257
151737,0,0,0.0943
151737,0,0,0.0629
151737,0,0,0.0314
151737,0,0,0
151737,0,0,0
151737,0,0,0
151737,0,0,0.0314
151737,0,0,0.0629
151737,0,0,0.0945
151737,0,0,0.063
151737,0,0,0.0315
151737,0,0,0
151737,0,0,0
151737,0,0,0
151737,0,0,0
151737,0,0,0
151738,0,0,0
151738,0,0,0
151738,0,0,0
151738,0,0,0.0315
151738,0,0,0.0631
151738,0,0,0.0947
151738,0,0,0.1263
151738,0,0,0.1579
151738,0,0,0.1264
151738,0,0,0.0948
151738,0,0,0.0632
151738,0,0,0.0316
151738,0,0,0
151738,0,0,0
151738,0,0,0
151738,0,0,0
151738,0,0,0
151738,0,0,0
151738,0,0,0
151738,0,0,0
151738,0,0,0
151738,0,0,0
151738,0,0,0
151738,0,0,0
151738,0,0,0
151738,0,0,0
151738,0,0,0
151738,0,0,0
151738,0,0,0
151738,0,0,0
151739,0,0,0
151739,0,0,0
151739,0,0,0
151739,0,0,0
151739,0,0,0
151739,0,0,0
151739,0,0,0
151739,0,0,0
151739,0,0,0
151739,0,0,-0.031
151739,0,0,-0.063
151739,0,0,-0.095
151739,0,0,-0.127
151739,0,0,-0.159
151739,0,0,-0.19
151739,0,0,-0.222
151739,0,0,-0.254
151739,0,0,-0.286
151739,0,0,-0.318
151739,0,0,-0.286
151739,0,0,-0.254
151739,0,0,-0.223
151739,0,0,-0.191
151739,0,0,-0.159
151739,0,0,-0.127
151739,0,0,-0.095
151739,0,0,-0.063
151739,0,0,-0.031
151739,0,0,0
151739,0,0,0.0319
151740,0,0,0.0638
151740,0,0,0.0957
151740,0,0,0.1277
151740,0,0,0.1596
151740,0,0,0.1916
151740,0,0,0.2236
151740,0,0,0.2555
151740,0,0,0.2876
151740,0,0,0.2556
151740,0,0,0.2237
151740,0,0,0.1918
151740,0,0,0.1598
151740,0,0,0.1279
151740,0,0,0.0959
151740,0,0,0.0639
151740,0,0,0.032
151740,0,0,0
151740,0,0,-0.032
151740,0,0,-0.064
151740,0,0,-0.096
151740,0,0,-0.128
151740,0,0,-0.16
151740,0,0,-0.192
151740,0,0,-0.16
151740,0,0,-0.128
151740,0,0,-0.096
151740,0,0,-0.064
151740,0,0,-0.032
151740,0,0,0
151740,0,0,0
151741,0,0,0
151741,0,0,0
151741,0,0,0
151741,0,0,0
151741,0,0,0
151741,0,0,0
151741,0,0,0
151741,0,0,0
151741,0,0,0
151741,0,0,0
151741,0,0,0
151741,0,0,0
151741,0,0,0
151741,0,0,0
151741,0,0,0
151741,0.3333,0,0
151741,0.6666,0,0
151741,1,0,0
151741,1.3333,0,0
151741,1.6666,0,0
151741,2,0,0
151741,2.3333,0,0
151741,2,0,0
151741,1.6666,0,0
151741,1.3333,0,0
151741,1,0,0
151741,0.6666,0,0
151741,0.3333,0,0
151741,0,0,0
151741,0,0,0
151742,0,0,0
151742,0,0,0
151742,0,0,0
151742,0,0,0
151742,0,0,0
151742,0,0,0
151742,0,0,0
151742,0.3333,0,0
151742,0.6666,0,0
151742,1,0,0
151742,1.3333,0,0
151742,1.6666,0,0
151742,2,0,0
151742,2.3333,0,0
151742,2.6666,0,0
151742,3,0,0
151742,3.3333,0,0
151742,3.6666,0,0
151742,4,0,0
151742,4.3333,0,0
151742,4.6666,0,0
151742,5,0,0
151742,4.6666,0,0
151742,4.3333,0,0
151742,4,0,0
151742,3.6666,0,0
151742,3.3333,0,0
151742,3,0,0
151742,2.6666,0,0
151742,2.3333,0,0
151743,2,0,0
151743,1.6666,0,0
151743,1.3333,0,0
151743,1,0,0
151743,0.6666,0,0
151743,1,0,0
151743,1.3333,0,0
151743,1.6666,0,0
151743,2,0,0
151743,2.3333,0,0
151743,2.6666,0,0
151743,3,0,0
151743,3.3333,0,0
151743,3,0,0
151743,2.6666,0,0
151743,2.3333,0,0
151743,2,0,0
151743,1.6666,0,0
151743,1.3333,0,0
151743,1,0,0
151743,0.6666,0,0
151743,0.3333,0.0333,0
151743,0,0.0666,0
151743,0,0.1,0
151743,0,0.1333,0
151743,0,0.1666,0
151743,0,0.2,0
151743,0,0.2333,0
151743,0,0.2666,0
151743,0,0.3,0
